Type,Decision
,
1. Extract Method,
2. Inline Method,
3. Rename Method,No
4. Move Method,
5. Move Attribute,
6. Pull Up Method,
7. Pull Up Attribute,
8. Push Down Method,
9. Push Down Attribute,
10. Extract Superclass,
11. Extract Interface,
12. Move Class,
13. Rename Class,Not sure..
14. Extract and Move Method,
"15. Change Package (Move, Rename, Split, Merge)",
supported by RefactoringMiner 2.0,
16. Move and Rename Class,
17. Extract Class,
18. Extract Subclass,
19. Extract Variable,
20. Inline Variable,
21. Parameterize Variable,
22. Rename Variable,No
23. Rename Parameter,No
24. Rename Attribute,No
25. Move and Rename Attribute,
26. Replace Variable with Attribute,
27. Replace Attribute (with Attribute),
28. Merge Variable,
29. Merge Parameter,
30. Merge Attribute,
31. Split Variable,
32. Split Parameter,
33. Split Attribute,
34. Change Variable Type,
35. Change Parameter Type,
36. Change Return Type,
37. Change Attribute Type,
38. Extract Attribute,
